short_name	full_name	division
MIN	Minnesota Timberwolves	Northwest
WAS	Washington Wizards	Southeast
LAL	Los Angeles Lakers	Pacific
BKN	Brooklyn Nets	Atlantic
NYK	New York Knicks	Atlantic
TOR	Toronto Raptors	Atlantic
SAS	San Antonio Spurs	Southwest
DET	Detroit Pistons	Central
BOS	Boston Celtics	Atlantic
NOP	New Orleans Pelicans	Southwest
OKC	Oklahoma City Thunder	Northwest
MIL	Milwaukee Bucks	Central
PHI	Philadelphia 76ers	Atlantic
SAC	Sacramento Kings	Pacific
CLE	Cleveland Cavaliers	Central
LAC	LA Clipers	Pacific
MIA	Miami Heat	Southeast
UTA	Utah Jazz	Northwest
POR	Portland Trailblazers	Northwest
DEN	Denver Nuggets	Northwest
MEM	Memphis Grizzlies	Southwest
CHI	Chicago Bulls	Central
HOU	Houston Rockets	Southwest
ORL	Orlando Magic	Southeast
CHA	Charlotte Hornets	Southeast
ATL	Atlanta Hawks	Southeast
DAL	Dallas Mavericks	Southwest
IND	Indiana Pacers	Central
PHX	Phoenix Suns	Pacific
GSW	Golden State Warriors	Pacific
}		